"D" "I" "G"
"1" "d0" "i1" "g1"
"2" "d0" "i0" "g3"
"3" "d1" "i0" "g3"
"4" "d1" "i0" "g3"
"5" "d1" "i0" "g1"
"6" "d1" "i0" "g3"
"7" "d1" "i1" "g2"
"8" "d0" "i1" "g1"
"9" "d0" "i0" "g2"
"10" "d0" "i0" "g2"
"11" "d0" "i0" "g2"
"12" "d0" "i0" "g1"
"13" "d1" "i0" "g3"
"14" "d0" "i1" "g1"
"15" "d1" "i0" "g3"
"16" "d0" "i0" "g2"
"17" "d0" "i0" "g1"
"18" "d0" "i1" "g1"
"19" "d0" "i0" "g3"
"20" "d0" "i1" "g1"
"21" "d0" "i0" "g1"
"22" "d1" "i1" "g1"
"23" "d1" "i0" "g2"
"24" "d0" "i0" "g3"
"25" "d1" "i0" "g3"
"26" "d1" "i0" "g3"
"27" "d1" "i1" "g2"
"28" "d1" "i1" "g3"
"29" "d0" "i0" "g2"
"30" "d0" "i0" "g2"
"31" "d1" "i0" "g3"
"32" "d0" "i0" "g3"
"33" "d0" "i0" "g2"
"34" "d0" "i1" "g1"
"35" "d1" "i0" "g2"
"36" "d1" "i0" "g2"
"37" "d1" "i0" "g3"
"38" "d0" "i0" "g1"
"39" "d0" "i0" "g3"
"40" "d0" "i0" "g2"
"41" "d0" "i1" "g1"
"42" "d1" "i0" "g3"
"43" "d0" "i0" "g3"
"44" "d1" "i0" "g2"
"45" "d0" "i1" "g1"
"46" "d0" "i0" "g3"
"47" "d1" "i0" "g3"
"48" "d0" "i0" "g2"
"49" "d0" "i0" "g3"
"50" "d1" "i0" "g1"
"51" "d0" "i0" "g2"
"52" "d1" "i0" "g3"
"53" "d1" "i1" "g3"
"54" "d0" "i0" "g2"
"55" "d1" "i0" "g3"
"56" "d1" "i1" "g1"
"57" "d1" "i0" "g3"
"58" "d0" "i0" "g2"
"59" "d0" "i0" "g1"
"60" "d1" "i1" "g1"
"61" "d1" "i0" "g2"
"62" "d0" "i0" "g3"
"63" "d0" "i0" "g2"
"64" "d1" "i1" "g1"
"65" "d1" "i0" "g2"
"66" "d0" "i1" "g1"
"67" "d1" "i0" "g2"
"68" "d0" "i0" "g3"
